姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
关文龙,https://www.sysucc.org.cn/node/6099,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/guanwenlong-nk-202304_0.jpg?itok=Fiwu6nJC,01_试点医院/中山大学肿瘤防治中心/照片/关文龙-内科-副主任医师-中山大学肿瘤防治中心.jpg,191252,70049393cb5d03644316b49c295de05d015e24aedb87d3df09989d91beb65e7f,400,600,
刘俊玲,https://www.sysucc.org.cn/node/1495,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/liujunling-nk-202304.jpg?itok=S6fQrtzB,01_试点医院/中山大学肿瘤防治中心/照片/刘俊玲-内科-副主任医师-中山大学肿瘤防治中心.jpg,159013,2f3e09d4b61dc089da6518db53bf418f7b863beace6122acc5b5bd604f54ac40,400,600,
刘盼盼,https://www.sysucc.org.cn/node/1504,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/liupanpan-nk-202304.jpg?itok=zr0kuylw,01_试点医院/中山大学肿瘤防治中心/照片/刘盼盼-内科-主任医师-中山大学肿瘤防治中心.jpg,213978,e2b24241833f4da727e9b230db38d01bd137963ffc16869594d52ce3b6f01989,400,600,
史艳侠,https://www.sysucc.org.cn/node/1477,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/shiyanxia-nk-202303.jpg?itok=lMpUtcBk,01_试点医院/中山大学肿瘤防治中心/照片/史艳侠-内科-主任医师-中山大学肿瘤防治中心.jpg,205898,de710d8a5dbc83a83e56343cddb2080d9b3666f761bc2794cc89e3d4a5de602e,400,600,
周华强,https://www.sysucc.org.cn/node/8018,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2024-04/4.30%20%E5%91%A8%E5%8D%8E%E5%BC%BA.jpg?itok=73x_n8J3,01_试点医院/中山大学肿瘤防治中心/照片/周华强-内科-副主任医师-中山大学肿瘤防治中心.jpg,178016,180fa196c7db7893f565237b93090caebacb93f095d4bd43b28b19a389480b1c,400,600,
周婷,https://www.sysucc.org.cn/node/1520,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/zhouting-nk-202304.jpg?itok=iHtTltgn,01_试点医院/中山大学肿瘤防治中心/照片/周婷-内科-副主任医师-中山大学肿瘤防治中心.jpg,198529,aa4e35152af2e08bdac55c05701a86b310b6fc215dad18293058e0bbe638b843,400,600,
周宁宁,https://www.sysucc.org.cn/node/1488,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/zhouningning-nk-202304.jpg?itok=FhhUTR0u,01_试点医院/中山大学肿瘤防治中心/照片/周宁宁-内科-主任医师-中山大学肿瘤防治中心.jpg,175791,50c544e14a4e9be2c6e34d8c7e99e641b551d865dd284bf09ee46deab96eaeec,400,600,
夏奕,https://www.sysucc.org.cn/node/1492,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-03/xiayi-nk-202303.jpg?itok=OU77vE9k,01_试点医院/中山大学肿瘤防治中心/照片/夏奕-内科-主任医师-中山大学肿瘤防治中心.jpg,167694,c6aeed1f41ca7600c569b0c8dad0cb319e914288297f90f82216319d0e6f2f2e,400,600,
夏雯,https://www.sysucc.org.cn/node/1506,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/xiawen-nk-202304.jpg?itok=cDcJaBPN,01_试点医院/中山大学肿瘤防治中心/照片/夏雯-内科-主任医师-中山大学肿瘤防治中心.jpg,220363,7c17ee0062b4b73f412ba6083bb4e4688ba249336fad091d150b279578258e8a,400,600,
孙鹏,https://www.sysucc.org.cn/node/1513,实采,,https://www.sysucc.org.cn/sites/cc.prod.sysucloud2.sysu.edu.cn/files/styles/media_2_3_400_600/public/2023-04/sunpeng-nk-202304.jpg?itok=xU9tFSWB,01_试点医院/中山大学肿瘤防治中心/照片/孙鹏-内科-副主任医师-中山大学肿瘤防治中心.jpg,170288,3bd82e26227761068b0cc8b476d06f72bfa3a5ba411f0bdc9a5109f5ea0fde75,400,600,
