姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,错误证据
林潮双,https://www.zssy.com.cn/node/11106,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021908580135709037.jpg,01_试点医院/中山大学附属第三医院/照片/林潮双-感染性疾病科-主任医师-中山大学附属第三医院.jpg,162076,ca17180c329bc439b65788bc58b61d58cbd6044e70ee374c4fc8bf5e08138ddd,500,667,
林炳亮,https://www.zssy.com.cn/node/11105,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2013100816434717402771.jpg,01_试点医院/中山大学附属第三医院/照片/林炳亮-感染性疾病科-主任医师-中山大学附属第三医院.jpg,13447,bc1487b5acf02417b1155405a9eadb5fbc4db561fbdb578552689e4363c37c53,114,150,
柯伟民,https://www.zssy.com.cn/node/11120,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/830413.jpg,01_试点医院/中山大学附属第三医院/照片/柯伟民-感染性疾病科-主任医师-中山大学附属第三医院.jpg,11049,0d4bd469aca154a65e50a1999d648a87c562ee53c515315cfabd4e6d9b8fb37a,132,176,
梅咏予,https://www.zssy.com.cn/node/11090,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021909291447401271.jpg,01_试点医院/中山大学附属第三医院/照片/梅咏予-感染性疾病科-主任医师-中山大学附属第三医院.jpg,197166,9f8dc2ede82c669ad9f959d49843a40795c52074962462ddc6849aceb74b79f8,500,667,
王科,https://www.zssy.com.cn/node/15046,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E7%8E%8B%E7%A7%91.jpg,01_试点医院/中山大学附属第三医院/照片/王科-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,183563,60b805ddd78026a57032ee9cf694dba3cf39cdb15d48f0b2593c7418335a0113,500,667,
舒欣,https://www.zssy.com.cn/node/11089,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2017031508443346858495.jpg,01_试点医院/中山大学附属第三医院/照片/舒欣-感染性疾病科-主任医师-中山大学附属第三医院.jpg,250799,8614314f860812cec604f8a456a000356e5f3c61ac520a003eeaabeabb794c63,500,667,
莫志硕,https://www.zssy.com.cn/node/15050,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/%E8%8E%AB%E5%BF%97%E7%A1%95.jpg,01_试点医院/中山大学附属第三医院/照片/莫志硕-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,898995,b6e0c9733a8108e08004ea79fd8afaed97f95ad5feb5e8ae6217b5c1e8f2f003,1855,2273,
谢仕斌,https://www.zssy.com.cn/node/11098,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021908565070504047.jpg,01_试点医院/中山大学附属第三医院/照片/谢仕斌-感染性疾病科-主任医师-中山大学附属第三医院.jpg,223017,636ad42ae7a7b76990efc17b9dfb4c7cda44b3c10d9662ba1ce161b65f673e6f,500,667,
谢俊强,https://www.zssy.com.cn/node/11080,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/2014021315283098448113.jpg,01_试点医院/中山大学附属第三医院/照片/谢俊强-感染性疾病科-副主任医师-中山大学附属第三医院.jpg,301265,9bf185cefbddf275dcbb8f8ffd510de4af2804b59a2b2c305ec8488b6bd33aaa,2504,3339,
谢冬英,https://www.zssy.com.cn/node/11111,实采,,https://www.zssy.com.cn/sites/zssy.prod.sysucloud1.sysu.edu.cn/files/830450.jpg,01_试点医院/中山大学附属第三医院/照片/谢冬英-感染性疾病科-主任医师-中山大学附属第三医院.jpg,12298,693462c2ffca99dcca9d86e452b4a68e8e5be8f57594bdb75fd01ad3311a3503,132,178,
