详情ID,姓名,来源链接,状态,失败分类,照片引用数,照片链接,照片文件,声明格式,实际格式,字节数,SHA-256,宽,高,来源批次,错误证据
476,陈毅飞,http://www.ny5y.cn/yisheng_xq.php?id=476,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665624002107717.png,01_试点医院/南方医科大学第五附属医院/照片/陈毅飞-重症医学科-副主任医师-南方医科大学第五附属医院.png,png,png,145772,d4bf76b613650a2a0f1b8914f0ada468a2f3fbfc33266ec7d82d9265d86069ad,413,579,FULL_FETCH,
39,高源根,http://www.ny5y.cn/yisheng_xq.php?id=39,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665714224484150.png,01_试点医院/南方医科大学第五附属医院/照片/高源根-重症医学科-副主任医师-南方医科大学第五附属医院.png,png,png,130281,164e579294494fc8eee84dcb945500e4dd44df35407823b089a1eae479cf9442,413,579,FULL_FETCH,
266,刘建华,http://www.ny5y.cn/yisheng_xq.php?id=266,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665647066134797.png,01_试点医院/南方医科大学第五附属医院/照片/刘建华-麻醉科-副主任医师-南方医科大学第五附属医院.png,png,png,160515,970364164aa03700d5bcabe0107061f00e5bf5c2fe5c1534c99920370c565521,413,579,FULL_FETCH,
268,黄仲坚,http://www.ny5y.cn/yisheng_xq.php?id=268,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665715886804393.png,01_试点医院/南方医科大学第五附属医院/照片/黄仲坚-麻醉科-副主任医师-南方医科大学第五附属医院.png,png,png,165025,d195b3ee42d0ab10706d7e020689cc72e914c49f9c44189470af8f751e319be1,413,579,FULL_FETCH,
556,黄艳,http://www.ny5y.cn/yisheng_xq.php?id=556,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778143264265936.jpg,01_试点医院/南方医科大学第五附属医院/照片/黄艳-麻醉科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,40732,5a54c82fc37f07aa4e070d08ec4d61d548026903799d7c513427ac444fc70214,960,1440,FULL_FETCH,
457,孟越,http://www.ny5y.cn/yisheng_xq.php?id=457,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260304/1772609467168684.png,01_试点医院/南方医科大学第五附属医院/照片/孟越-关节外科-副主任医师-南方医科大学第五附属医院.png,png,png,2546664,2ba581f3348c898ef3bd668f745f8f8f15c81b6f4fa0f1b108a2d37a2cffc379,651,976,FULL_FETCH,
502,付亮,http://www.ny5y.cn/yisheng_xq.php?id=502,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665643223826640.png,01_试点医院/南方医科大学第五附属医院/照片/付亮-医学检验科-副主任技师-南方医科大学第五附属医院.png,png,png,167987,d645a10f43d6c88e8e1a2a18716b33c464b084d6aafd3034c258f93526432c57,413,579,FULL_FETCH,
560,孙武平,http://www.ny5y.cn/yisheng_xq.php?id=560,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778142036495381.png,01_试点医院/南方医科大学第五附属医院/照片/孙武平-医学检验科-副研究员-南方医科大学第五附属医院.png,png,png,99131,1270ed9d89f557a2a38b9fb2b485c0e751669a3c05127fc2dc2b96c7f360ca27,286,415,FULL_FETCH,
31,曾方银,http://www.ny5y.cn/yisheng_xq.php?id=31,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665647583893038.png,01_试点医院/南方医科大学第五附属医院/照片/曾方银-医学检验科-主任技师-南方医科大学第五附属医院.png,png,png,119017,2ccfd24edb1e25e7f7d0ba332510eeb2eda4847ab729f592352d6b3982fefd44,413,579,FULL_FETCH,
500,陈永强,http://www.ny5y.cn/yisheng_xq.php?id=500,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665642775109842.png,01_试点医院/南方医科大学第五附属医院/照片/陈永强-医学检验科-副主任技师-南方医科大学第五附属医院.png,png,png,203499,189f3d660bc52f329ba32d8ed05c75597a39419936eb91fbcaa0a21315049a64,413,579,FULL_FETCH,
561,马栋,http://www.ny5y.cn/yisheng_xq.php?id=561,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778143025200226.jpg,01_试点医院/南方医科大学第五附属医院/照片/马栋-影像诊断科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,43457,a792e03013b0adf892ba0f79bf96b666f4f2a4e6619927f29308e81ea9f06281,720,1280,FULL_FETCH,
563,鄢秋龙,http://www.ny5y.cn/yisheng_xq.php?id=563,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260528/1779931041611653.png,01_试点医院/南方医科大学第五附属医院/照片/鄢秋龙-微生态医学中心-教授-南方医科大学第五附属医院.png,png,png,69291,3e35cb630fb65d806e9d59031666d93d329d2cc26a42dbf2d8cd993a173e45e7,359,482,FULL_FETCH,
419,吴智勇,http://www.ny5y.cn/yisheng_xq.php?id=419,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665630004218214.png,01_试点医院/南方医科大学第五附属医院/照片/吴智勇-精神心理科-主治医师-南方医科大学第五附属医院.png,png,png,155326,5713431ca164465c8bb369aa0c9ef4d74d4f669ad58f0050380e134dd70916e5,413,579,TRIAL_REUSE,
418,许桂璇,http://www.ny5y.cn/yisheng_xq.php?id=418,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221014/1665718037585576.png,01_试点医院/南方医科大学第五附属医院/照片/许桂璇-精神心理科-主治医师-南方医科大学第五附属医院.png,png,png,111273,7c3fc546bc87bbd41961b49f4672d15f2fb8fbbfd5c7602143128c59b56a587e,413,579,TRIAL_REUSE,
506,程文辉,http://www.ny5y.cn/yisheng_xq.php?id=506,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20221013/1665644524571634.png,01_试点医院/南方医科大学第五附属医院/照片/程文辉-药学部-副主任药师-南方医科大学第五附属医院.png,png,png,182219,ef33a0b036fe6d30ace22df72668104c2f487ee7b2221d3b24fb3e01ae9046fd,413,579,FULL_FETCH,
557,谭文婷,http://www.ny5y.cn/yisheng_xq.php?id=557,实采,,1,http://www.ny5y.cn/ueditor/php/upload/image/20260507/1778115019315293.jpg,01_试点医院/南方医科大学第五附属医院/照片/谭文婷-超声诊断科-副主任医师-南方医科大学第五附属医院.jpg,jpg,jpg,154238,7fc7fc1c27ca6f484602539486566d9cfea95e19fc712d648e2f202b891732ca,935,1361,FULL_FETCH,
