姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
谢绚,https://www.gzsys.org.cn/node/14842,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/14436.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/谢绚-胸外科-主任医师-中山大学孙逸仙纪念医院.jpg,52421,5b484116973dcedcc786640fb208a02cdbb38e0be7f0bd8b33a7f49569718149,413,626,FULL_FETCH,
莫颖倩,https://www.gzsys.org.cn/node/14745,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E8%8E%AB%E9%A2%96%E5%80%A9.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/莫颖倩-风湿免疫科-主任医师-中山大学孙逸仙纪念医院.jpg,274409,5e1c53419049167a3c74383415965f4aeffab213486dd866194bd1973d0cbcd3,1420,1731,FULL_FETCH,
肖剑晖,https://www.gzsys.org.cn/node/14638,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10364.JPG,01_试点医院/中山大学孙逸仙纪念医院/照片/肖剑晖-眼科-主任医师-中山大学孙逸仙纪念医院.jpg,1781015,41e5f67ea86c89a099fd25406824627ee164426e78bfe6c78a185bb4b4f29b54,2153,3083,FULL_FETCH,
艾福志,https://www.gzsys.org.cn/node/14776,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/22502.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/艾福志-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,30075,87b06938fd00cd2cb551815fa5f9ab02b68cf047a88979a0ff07b0e46cc2ff86,168,240,FULL_FETCH,
叶记超,https://www.gzsys.org.cn/doctor/14746,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12696.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/叶记超-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,1006873,36009a643bfae68fd9f7777acd70272a8256fb8e911da295946dc53e67a6a55a,1552,2169,FULL_FETCH,
彭焰,https://www.gzsys.org.cn/node/14701,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10091_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/彭焰-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,185920,d13ecfc90f269aec8867b7b07c696d6a8106e1a9db7cdce1078092f0aad11c91,413,579,FULL_FETCH,
宋卫东,https://www.gzsys.org.cn/node/14678,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10157_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/宋卫东-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,92396,560d80b816cffbae0fb5057d23b67732e833bcfdef179ccd61748264ce6c752a,413,626,FULL_FETCH,
许杰,https://www.gzsys.org.cn/node/14660,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10412.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/许杰-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,66828,35669916ff55848ab663e1d3292e47465e71ae5dc403464de3d89919d39c001a,413,579,FULL_FETCH,
马若凡,https://www.gzsys.org.cn/node/14562,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/fileUpload_6.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/马若凡-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,360327,d7626a2d8945d01099ad3527b0bc528a7957f2422c07f76923608886c0475b8d,1356,1656,FULL_FETCH,
王友元,https://www.gzsys.org.cn/node/14765,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13925.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王友元-口腔科-主任医师-中山大学孙逸仙纪念医院.jpg,157657,cba625e76a8ea0a5cd254f6d8884743a7c0e792b37ddf4112da0bada738de736,449,614,FULL_FETCH,
