姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,引用路径风格,错误证据
张挪富,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_11.html,实采,,https://www.gyfyyy.cn/Upload/202501/638720118098770619.png,01_试点医院/广州医科大学附属第一医院/照片/张挪富-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.png,215324,5eb3800801695486f0611f11890cc742816f654df9af53134b0d37b3118e4d3f,89504E470D0A1A0A0000000D,325,400,Upload原图,
刘晓青,https://www.gyfyyy.cn/cn/ks/nk/zzyxk/doctor_880.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658856332734319.jpg,01_试点医院/广州医科大学附属第一医院/照片/刘晓青-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,1031241,07e94fafd1a8b3ecb2f1c043bc150cada4580907c79dba57d2e480cbd23d13b7,FFD8FFE11123457869660000,325,400,Upload原图,
欧阳铭,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_13.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658855425722392.jpg,01_试点医院/广州医科大学附属第一医院/照片/欧阳铭-呼吸与危重症医学科-副主任医师-广州医科大学附属第一医院.jpg,1031569,24ddd364315b37328df698eb61b1608eee8509e4bc6c433bdba2386d4e171224,FFD8FFE11074457869660000,325,400,Upload原图,
曾运祥,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_14.html,实采,,https://www.gyfyyy.cn/Upload/202202/637816642788846394.jpg,01_试点医院/广州医科大学附属第一医院/照片/曾运祥-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,79730,590618a27f48cabc31fbbcb95e3c4e1bad32c3097efd439023c04475d960f515,FFD8FFDB0084000101010101,325,400,Upload原图,
钟淑卿,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_15.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658856897417693.jpg,01_试点医院/广州医科大学附属第一医院/照片/钟淑卿-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,1029289,49606893e654e706d0f9cf8d15ad2fa9e93763099ac8a0466aa26c102bd92304,FFD8FFE11045457869660000,325,400,Upload原图,
张洁霞,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_17.html,实采,,https://www.gyfyyy.cn/images/doctor/ZHANGJIEXIA.jpg,01_试点医院/广州医科大学附属第一医院/照片/张洁霞-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,37001,210137a667bc5a4d20394fa248064bd101e7977f894f7af90157031a41dbaace,FFD8FFDB0084000101010101,325,400,doctor原图,
周玉民,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_18.html,实采,,https://www.gyfyyy.cn/images/doctor/ZHOUYUMIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/周玉民-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,36185,2e59c75aa8707e9496be413dc0af737630638f668e1995342028db55d2260cf8,FFD8FFDB0084000101010101,325,400,doctor原图,
程璘令,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_19.html,实采,,https://www.gyfyyy.cn/images/doctor/CHENGLINLING.jpg,01_试点医院/广州医科大学附属第一医院/照片/程璘令-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,41819,ee77b4fd51886cd03841d96b8b44b3806dd992683c32ad3e3a1d7fa883b82477,FFD8FFDB0084000101010101,325,400,doctor原图,
徐远达,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_21.html,实采,,https://www.gyfyyy.cn/Upload/202410/638658855794598553.jpg,01_试点医院/广州医科大学附属第一医院/照片/徐远达-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,1023481,8170fc2148b2ee9a81da546f294dec630e1dae7f51ec6c905e735eb2dae395a9,FFD8FFE10F05457869660000,325,400,Upload原图,
秦茵茵,https://www.gyfyyy.cn/cn/ks/nk/hxnk/doctor_22.html,实采,,https://www.gyfyyy.cn/images/doctor/QINYINYIN.jpg,01_试点医院/广州医科大学附属第一医院/照片/秦茵茵-呼吸与危重症医学科-主任医师-广州医科大学附属第一医院.jpg,37515,a96a7f390b706a42d87ff734aaf3029aacffab34070af5527e16db1d90a2314c,FFD8FFDB0084000101010101,325,400,doctor原图,
